unitId,id,displayOrder,category,unitClass,combatType,species,name,tier,tierNumber,capacityType,capacityCost,baseStrength,baseHealth,goldRevivalCost,silverRevivalCost,icon,bonus_flying,bonus_mounted,bonus_melee,bonus_ranged,bonus_epic,bonus_arachne,bonus_elemental,bonus_beast,bonus_dragon,bonus_giant,bonus_fortification,bonus_siege,bonus_human,bonus_doubleDamage
1,troop-g9-flying-corax-2,1,troop,GUARDSMAN,FLYING,HUMAN,CORAX 2,G9,9,LEADERSHIP,20,110200,330600,80,800,assets/unit-icons/troop-g9-flying-corax-2.jpeg,0.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51,0.0,0.0,0.0
2,troop-s9-flying-royal-lion-2,2,troop,SPECIALIST,FLYING,BEAST,ROYAL LION 2,S9,9,LEADERSHIP,20,110200,330600,80,800,assets/unit-icons/troop-s9-flying-royal-lion-2.jpeg,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0
3,troop-g8-flying-corax-1,3,troop,GUARDSMAN,FLYING,HUMAN,CORAX 1,G8,8,LEADERSHIP,20,61200,183600,80,800,assets/unit-icons/troop-g8-flying-corax-1.jpeg,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01,0.0,0.0,0.0
4,troop-s8-flying-royal-lion-1,4,troop,SPECIALIST,FLYING,BEAST,ROYAL LION 1,S8,8,LEADERSHIP,20,61200,183600,80,800,assets/unit-icons/troop-s8-flying-royal-lion-1.jpeg,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0
5,troop-g7-flying-battle-griffin-7,5,troop,GUARDSMAN,FLYING,BEAST,BATTLE GRIFFIN 7,G7,7,LEADERSHIP,20,34000,102000,80,800,assets/unit-icons/troop-g7-flying-battle-griffin-7.jpeg,0.0,8.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,0.0,0.0,0.0
6,troop-e9-siege-josephine-2,6,troop,ENGINEER,SIEGE,HUMAN,JOSEPHINE 2,E9,9,LEADERSHIP,10,27550,165300,40,400,assets/unit-icons/troop-e9-siege-josephine-2.jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0
7,troop-g6-flying-battle-griffin-6,7,troop,GUARDSMAN,FLYING,BEAST,BATTLE GRIFFIN 6,G6,6,LEADERSHIP,20,19000,57000,80,800,assets/unit-icons/troop-g6-flying-battle-griffin-6.jpeg,0.0,5.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,0.0,0.0,0.0
8,troop-e8-siege-josephine-1,8,troop,ENGINEER,SIEGE,HUMAN,JOSEPHINE 1,E8,8,LEADERSHIP,10,15310,91800,40,400,assets/unit-icons/troop-e8-siege-josephine-1.jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0
9,troop-g9-mounted-smiter-2,9,troop,GUARDSMAN,MOUNTED,HUMAN,SMITER 2,G9,9,LEADERSHIP,2,11020,33060,8,80,assets/unit-icons/troop-g9-mounted-smiter-2.jpeg,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84,0.0,0.05
10,troop-s9-mounted-whitemane-2,10,troop,SPECIALIST,MOUNTED,HUMAN,WHITEMANE 2,S9,9,LEADERSHIP,2,11020,33060,8,80,assets/unit-icons/troop-s9-mounted-whitemane-2.jpeg,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,0.0,0.0
