id,type,chest,clanWealth,gold,potion,talentReset,cityTeleport,epicTar,rareTar,commonTar,silver,wood,iron,stone,food,speedupDays,clanSpeedupDays,dragonCoins,summonsScroll,marchSpeed50
c1,CITADEL,CITADEL 10,18,,,,,,,,,,,,,,,,,
c2,CITADEL,CITADEL 15,29,,,,,,,,,,,,,,,,,
c3,CITADEL,CITADEL 20,37,2.92,,,,6.1000000000000005,15.075000000000001,,502.5,,,,,,,8,,
c4,CITADEL,CITADEL 25,93,5.699999999999999,,,,18,38.5,,1427.5,,,,,,,24.5,,
c5,CITADEL,CITADEL 30,129,12,,,,18.3,45.15,,2450,,,,,,,29.699999999999996,,
c6,CRYPT,COMMON 5,12,,,,,,,,,,,,,,,,,
c7,CRYPT,COMMON 10,33,,,,,,,,,,,,,,,,,
c8,CRYPT,COMMON 15,73,,,,,,,,,,,,,,,,,
c9,CRYPT,COMMON 20,168,,,,,,,,,,,,,,,,,
c10,CRYPT,COMMON 25,426,17.625,4.475,,,,,,35750,29204.545454545456,17727.272727272728,38863.63636363636,43238.63636363636,0.1607,0.07,7,,
c11,CRYPT,RARE 10,65,,,,,,,,,,,,,,,,,
c12,CRYPT,RARE 15,129,,,,,,,,,,,,,,,,,
c13,CRYPT,RARE 20,319,27,25.8,,,,,,47850,,,,,,,30,,
c14,CRYPT,RARE 25,626,63,54.300000000000004,,,,,,104675,150000,117605.6338028169,113380.28169014085,167605.6338028169,0.3492957746478873,0.07605633802816901,85,,
c15,CRYPT,RARE 30,1350,164.55,119.55,,,,,,253624.99999999997,387359.19899874844,480600.7509386733,419899.87484355445,275344.1802252816,0.6835106382978723,0.13735919899874843,140,,
c16,CRYPT,EPIC 15,309,,,,,,,,,,,,,,,,,
c17,CRYPT,EPIC 20,598,33,99.3,,,,,,79200,47619.04761904762,50595.23809523809,56547.619047619046,66964.28571428571,1.0178571428571428,0.05232738095238095,70,,
c18,CRYPT,EPIC 25,895,87,150,,,,,,90350,87726.52388797364,95963.75617792422,74958.81383855025,96375.61779242175,2.212520593080725,0.10317133443163097,140,,
c19,CRYPT,EPIC 30,1186,181.5,204,,,,,,98000,148006.78541136556,121713.31636980492,150551.31467345209,110687.02290076336,2.8023748939779476,0.1272264631043257,140,,
c20,CRYPT,EPIC 35,1504,375.9,255,,,,,,152150,124321.88065099457,160036.16636528028,164556.96202531646,122513.5623869801,3.3896925858951175,0.16998191681735986,150,,
c21,CRYPT,TARTAROS 10,615,,,,,,,,,,,,,,,,,
c22,CRYPT,TARTAROS 15,615,,,,,,,,,,,,,,,,,
c23,CRYPT,TARTAROS 20,1190,35.099999999999994,100.19999999999999,,,,,,76250,,,,,,,85,,
c24,CRYPT,TARTAROS 25,1788,87.3,152.39999999999998,,,,,,99350,,,,,,,160,,
c25,CRYPT,TARTAROS 30,2368,182.10000000000002,202.8,,,,,,115950,70117.95543905636,81258.19134993447,156618.6107470511,91087.81127129751,2.7549148099606815,0.13237221494102228,140,,
c26,CRYPT,TARTAROS 35,3003,385.20000000000005,256.8,,,,,,136100,139274.5185848634,147111.5091804747,163681.14643976712,136363.63636363635,3.3779668607254814,0.16077026421854007,150,,
c27,EVENT,UNION OF TRIUMPH,,53.9,42,,,23.7,25.45,75.25,68100,,,,,,,187,0.06,
c28,EVENT,OLYMPUS,,381.1804008908686,426.16926503340756,,,38.39866369710467,56.05456570155902,560.3563474387528,306013.3630289532,,,,,,,280.75723830734967,0.0935412026726058,
c29,EVENT,DARK OMENS,,423.6666666666667,407.6666666666667,,,37.56666666666667,52.36,555,315000,,,,,,,279.15555555555557,0.10911111111111112,
c30,EVENT,EPIC TINMAN,,90,90,,,12,19,0,91552,,,,,,,92,0.33,
c31,EVENT,LEGENDARY TINMAN,,398,410,,,57,85,0,405800,,,,,,,436,0.33,
c32,EVENT,ASCENDANT TINMAN,,946.561326253076,913.4049993524155,,,149.0169667141562,227.51327548245047,1571.9207356560032,852046.3670509001,,,,,,,1244.657427794327,0.3272892112420671,
c33,EVENT,GODLIKE TINMAN,,4617.391304347826,4095.6521739130435,,,803.4782608695652,1164.0579710144928,5238.260869565217,4130434.782608696,,,,,,,6513.04347826087,1.0072463768115942,
c34,EPIC,ARACHNE,2994,2044.8877805486284,,0.14422277639235245,0.10099750623441396,962.1778886118038,978.8029925187031,1577.3067331670823,206151.28844555275,349127.18204488774,336658.3541147132,396924.3557772236,,0.8852867830423939,0.39276807980049877,3345.802161263508,,
c35,EPIC,ARCANOMANCER,2994,2201.8348623853212,,0.13906325446644133,0.09464027040077258,808.7880251086432,1042.97440849831,1441.3326895219702,202076.2916465476,381458.23273780785,357315.3066151617,357315.3066151617,,1.0719459198454853,0.3515210043457267,3887.0111057460167,,
c36,EPIC,ARMAGEDDON,2994,2453.102453102453,,0.13461142032570603,0.09709338280766852,828.6951144094,1060.6060606060605,1296.6398680684397,208616.78004535148,366934.65264893835,360750.3607503607,359719.64543393115,,0.9338280766852196,0.3953823953823954,3267.3675530818387,,
c37,EPIC,ASHEN,2994,2302.0361990950223,,0.13829185520361992,0.09869909502262443,830.0339366515838,1035.0678733031675,1391.4027149321269,192449.09502262442,398755.65610859724,404411.76470588235,335124.4343891403,,0.9417420814479638,0.40384615384615385,3068.438914027149,,
c38,EPIC,BASILISK,2994,2353.823088455772,,0.13793103448275862,0.08695652173913043,787.1064467766117,955.7721139430284,1330.5847076461769,197151.4242878561,397301.34932533733,363568.21589205397,404797.60119940026,,1.1244377811094453,0.3620689655172414,3598.2008995502247,,
c39,EPIC,BRIAREUS,2994,2350.6988564167723,,0.13055908513341805,0.08100381194409148,860.864040660737,1053.0495552731893,1469.1867852604828,198697.58576874208,406607.3697585769,358958.06861499365,371664.54891994916,,1.2484116899618807,0.4135959339263024,3144.8538754764927,,
c40,EPIC,DOOMSDAY,2994,2178.272980501393,,0.1381615598885794,0.09108635097493037,830.0835654596101,1132.3119777158774,1461.0027855153203,201392.75766016715,391364.90250696376,359331.4763231198,377437.32590529247,,0.9693593314763231,0.37827298050139274,3649.025069637883,,
c41,EPIC,HELLFORGE,2994,2200.180342651037,,0.1406672678088368,0.10009017132551848,811.5419296663661,1190.2614968440034,1519.3868349864742,196798.91794409376,308836.78990081156,340396.75383228133,358431.01893597835,,1.0414788097385033,0.4008115419296664,3742.1100090171326,,
c42,EPIC,SHADOW CITY,2994,2385.204081632653,,0.13934948979591838,0.08928571428571429,696.7474489795919,1037.9464285714287,1551.3392857142858,233099.48979591837,353954.0816326531,385841.83673469385,342793.36734693876,,1.0618622448979593,0.37276785714285715,3364.158163265306,,
c43,EPIC,SHUTEN DOJI/KASAMBO,239,2293.599809659767,,0.14013799666904592,0.09041161075422317,858.9103021651201,1084.939329050678,1401.3799666904592,198429.693076374,387818.2250773257,324768.022840828,360456.81655960024,,1.0135617416131335,0.4230311682131811,3271.472757554128,,
c44,EPIC,TAOTIE/NIU MO,239,2290.3142041028304,,0.13788626330823162,0.0923693289312609,828.9127128389657,1067.2552583744482,1440.8131468635233,205493.934785028,372815.96616834216,353711.4664094669,366880.58760247804,,1.0271914530548651,0.39210594650740066,3425.8263159847165,,
c45,EPIC,CHIMERA,561,288.36898395721926,311.63101604278074,,,47.89572192513369,68.3903743315508,871.0695187165776,228074.86631016043,,,,,,,274.81283422459893,0.09759358288770054,
c46,EPIC,FENRIR,561,277.1436156092381,309.7955933103265,,,46.493230687549776,75.67560392885585,848.6195911866207,225378.2851075126,,,,,,,259.9415980886647,0.1024688080700823,
c47,EPIC,JORMUNGANDR,561,283.6477987421384,346.54088050314465,,,45.874213836477985,74.88469601677149,825.3249475890985,213836.4779874214,,,,,,,255.59748427672955,0.10985324947589098,
