unitId,id,displayOrder,category,unitClass,combatType,species,name,tier,tierNumber,capacityType,capacityCost,baseStrength,baseHealth,goldRevivalCost,silverRevivalCost,icon,bonus_flying,bonus_mounted,bonus_melee,bonus_ranged,bonus_epic,bonus_arachne,bonus_elemental,bonus_beast,bonus_dragon,bonus_giant,bonus_fortification,bonus_siege,bonus_human,bonus_doubleDamage
94,mercenary-2-com-flying-wyvern,1,mercenary,CURSED,FLYING,CURSED,WYVERN,2-COM,2,AUTHORITY,63,690000,2070000,500,5000,assets/unit-icons/mercenary-2-com-flying-wyvern.jpeg,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,mercenary-7-com-ranged-fire-lord,2,mercenary,MONSTER,RANGED,ELEMENTAL,FIRE LORD,7-MNST,7,AUTHORITY,164,560000,1680000,1310,13100,assets/unit-icons/mercenary-7-com-ranged-fire-lord.jpeg,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0
96,mercenary-2-com-mounted-warden,3,mercenary,ELVES,MOUNTED,ELVES,WARDEN,2-COM,2,AUTHORITY,43,470000,1410000,340,3400,assets/unit-icons/mercenary-2-com-mounted-warden.jpeg,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,mercenary-2-com-ranged-eternal-cannoneer,4,mercenary,UNDEAD,RANGED,UNDEAD,ETERNAL CANNONEER,2-COM,2,AUTHORITY,40,440000,1320000,320,3200,assets/unit-icons/mercenary-2-com-ranged-eternal-cannoneer.jpeg,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,mercenary-7-com-melee-sand-worm,5,mercenary,MONSTER,MELEE,ELEMENTAL,SAND WORM,7-MNST,7,AUTHORITY,128,430000,1290000,1020,10200,assets/unit-icons/mercenary-7-com-melee-sand-worm.jpeg,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
99,mercenary-2-com-melee-demonic-salamander,6,mercenary,DEMON,MELEE,DEMON,DEMONIC SALAMANDER,2-COM,2,AUTHORITY,38,410000,1230000,300,3000,assets/unit-icons/mercenary-2-com-melee-demonic-salamander.jpeg,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,mercenary-7-com-flying-cursed-dragon,7,mercenary,MONSTER,FLYING,DRAGON,CURSED DRAGON,7-MNST,7,AUTHORITY,93,320000,960000,740,7400,assets/unit-icons/mercenary-7-com-flying-cursed-dragon.jpeg,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
101,mercenary-7-com-flying-life-dragon,8,mercenary,MONSTER,FLYING,DRAGON,LIFE DRAGON,7-MNST,7,AUTHORITY,70,240000,720000,560,5600,assets/unit-icons/mercenary-7-com-flying-life-dragon.jpeg,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
102,mercenary-2-grd-flying-warregal,9,mercenary,GUARDSMAN,FLYING,BEAST,WARREGAL,2-GRD,2,AUTHORITY,20,220000,660000,160,1600,assets/unit-icons/mercenary-2-grd-flying-warregal.jpeg,0.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51,0.0,0.0,0.0
103,mercenary-2-spcl-flying-jago,10,mercenary,SPECIALIST,FLYING,BEAST,JAGO,2-SPCL,2,AUTHORITY,20,220000,660000,160,1600,assets/unit-icons/mercenary-2-spcl-flying-jago.jpeg,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0
104,mercenary-7-com-ranged-overlord,11,mercenary,MONSTER,RANGED,GIANT,OVERLORD,7-MNST,7,AUTHORITY,60,200000,600000,480,4800,assets/unit-icons/mercenary-7-com-ranged-overlord.jpeg,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
105,mercenary-6-com-melee-archdemon,12,mercenary,MONSTER,MELEE,GIANT,ARCHDEMON,6-MNST,6,AUTHORITY,95,180000,540000,760,7600,assets/unit-icons/mercenary-6-com-melee-archdemon.jpeg,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
