unitId,id,displayOrder,category,unitClass,combatType,species,name,tier,tierNumber,capacityType,capacityCost,baseStrength,baseHealth,goldRevivalCost,silverRevivalCost,icon,bonus_flying,bonus_mounted,bonus_melee,bonus_ranged,bonus_epic,bonus_arachne,bonus_elemental,bonus_beast,bonus_dragon,bonus_giant,bonus_fortification,bonus_siege,bonus_human,bonus_doubleDamage
66,monster-m9-melee-kraken-2,1,monster,MONSTER,MELEE,GIANT,KRAKEN 2,M9,9,DOMINANCE,55,1210000,3630000,880,8800,assets/unit-icons/monster-m9-melee-kraken-2.jpeg,0.0,14.86,0.0,0.0,0.0,0.0,0.0,14.35,0.0,0.0,0.0,0.0,0.0,0.0
67,monster-m9-flying-fire-phoenix-2,2,monster,MONSTER,FLYING,ELEMENTAL,FIRE PHOENIX 2,M9,9,DOMINANCE,54,1190000,3570000,864,8640,assets/unit-icons/monster-m9-flying-fire-phoenix-2.jpeg,0.0,0.0,10.51,0.0,0.0,0.0,0.0,0.0,18.71,0.0,0.0,0.0,0.0,0.0
68,monster-m9-mounted-devastator-2,3,monster,MONSTER,MOUNTED,DRAGON,DEVASTATOR 2,M9,9,DOMINANCE,53,1170000,3510000,848,8480,assets/unit-icons/monster-m9-mounted-devastator-2.jpeg,0.0,0.0,0.0,19.22,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
69,monster-m9-ranged-trickster-2,4,monster,MONSTER,RANGED,BEAST,TRICKSTER 2,M9,9,DOMINANCE,52,1150000,3450000,832,8320,assets/unit-icons/monster-m9-ranged-trickster-2.jpeg,14.1,0.0,0.0,0.0,0.0,0.0,15.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,monster-m8-melee-kraken-1,5,monster,MONSTER,MELEE,GIANT,KRAKEN 1,M8,8,DOMINANCE,55,670000,2010000,880,8800,assets/unit-icons/monster-m8-melee-kraken-1.jpeg,0.0,9.91,0.0,0.0,0.0,0.0,0.0,9.57,0.0,0.0,0.0,0.0,0.0,0.0
71,monster-m8-flying-fire-phoenix-1,6,monster,MONSTER,FLYING,ELEMENTAL,FIRE PHOENIX 1,M8,8,DOMINANCE,54,660000,1980000,864,8640,assets/unit-icons/monster-m8-flying-fire-phoenix-1.jpeg,0.0,0.0,7.01,0.0,0.0,0.0,0.0,0.0,12.47,0.0,0.0,0.0,0.0,0.0
72,monster-m8-mounted-devastator-1,7,monster,MONSTER,MOUNTED,DRAGON,DEVASTATOR 1,M8,8,DOMINANCE,53,650000,1950000,848,8480,assets/unit-icons/monster-m8-mounted-devastator-1.jpeg,0.0,0.0,0.0,12.81,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0
73,monster-m8-ranged-trickster-1,8,monster,MONSTER,RANGED,BEAST,TRICKSTER 1,M8,8,DOMINANCE,52,640000,1920000,832,8320,assets/unit-icons/monster-m8-ranged-trickster-1.jpeg,9.4,0.0,0.0,0.0,0.0,0.0,10.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,monster-m7-melee-wind-lord,9,monster,MONSTER,MELEE,ELEMENTAL,WIND LORD,M7,7,DOMINANCE,45,310000,930000,720,7200,assets/unit-icons/monster-m7-melee-wind-lord.jpeg,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,9.11,0.0,0.0,0.0,0.0,0.0
75,monster-m7-flying-black-dragon,10,monster,MONSTER,FLYING,DRAGON,BLACK DRAGON,M7,7,DOMINANCE,44,300000,900000,704,7040,assets/unit-icons/monster-m7-flying-black-dragon.jpeg,0.0,0.0,5.7,0.0,0.0,0.0,0.0,7.29,0.0,0.0,0.0,0.0,0.0,0.0
76,monster-m7-ranged-destructive-colossus,11,monster,MONSTER,RANGED,GIANT,DESTRUCTIVE COLOSSUS,M7,7,DOMINANCE,43,290000,870000,688,6880,assets/unit-icons/monster-m7-ranged-destructive-colossus.jpeg,5.47,0.0,7.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,monster-m7-mounted-ancient-terror,12,monster,MONSTER,MOUNTED,BEAST,ANCIENT TERROR,M7,7,DOMINANCE,41,280000,840000,656,6560,assets/unit-icons/monster-m7-mounted-ancient-terror.jpeg,0.0,0.0,0.0,7.52,0.0,0.0,0.0,0.0,0.0,0.0,5.47,0.0,0.0,0.0
78,monster-m6-melee-ruby-golem,13,monster,MONSTER,MELEE,ELEMENTAL,RUBY GOLEM,M6,6,DOMINANCE,35,130000,390000,560,5600,assets/unit-icons/monster-m6-melee-ruby-golem.jpeg,0.0,3.8,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,monster-m6-melee-jungle-destroyer,14,monster,MONSTER,MELEE,BEAST,JUNGLE DESTROYER,M6,6,DOMINANCE,34,130000,390000,544,5440,assets/unit-icons/monster-m6-melee-jungle-destroyer.jpeg,0.0,6.23,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.0,0.0
80,monster-m6-melee-crystal-dragon,15,monster,MONSTER,MELEE,DRAGON,CRYSTAL DRAGON,M6,6,DOMINANCE,33,120000,360000,528,5280,assets/unit-icons/monster-m6-melee-crystal-dragon.jpeg,0.0,2.58,0.0,0.0,0.0,0.0,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,monster-m6-mounted-troll-rider,16,monster,MONSTER,MOUNTED,GIANT,TROLL RIDER,M6,6,DOMINANCE,30,110000,330000,480,4800,assets/unit-icons/monster-m6-mounted-troll-rider.jpeg,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,4.86,0.0,0.0,0.0
82,monster-m5-melee-ettin,17,monster,MONSTER,MELEE,GIANT,ETTIN,M5,5,DOMINANCE,23,48000,144000,368,3680,assets/unit-icons/monster-m5-melee-ettin.jpeg,0.0,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0,0.0
83,monster-m5-melee-fearsome-manticore,18,monster,MONSTER,MELEE,BEAST,FEARSOME MANTICORE,M5,5,DOMINANCE,22,46000,138000,352,3520,assets/unit-icons/monster-m5-melee-fearsome-manticore.jpeg,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0
84,monster-m5-flying-flaming-centaur,19,monster,MONSTER,FLYING,ELEMENTAL,FLAMING CENTAUR,M5,5,DOMINANCE,21,44000,132000,336,3360,assets/unit-icons/monster-m5-flying-flaming-centaur.jpeg,0.0,0.0,0.0,4.15,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0
85,monster-m5-mounted-desert-vanquisher,20,monster,MONSTER,MOUNTED,DRAGON,DESERT VANQUISHER,M5,5,DOMINANCE,20,42000,126000,320,3200,assets/unit-icons/monster-m5-mounted-desert-vanquisher.jpeg,0.0,0.0,0.0,2.53,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,monster-m4-flying-ice-phoenix,21,monster,MONSTER,FLYING,ELEMENTAL,ICE PHOENIX,M4,4,DOMINANCE,15,17000,51000,240,2400,assets/unit-icons/monster-m4-flying-ice-phoenix.jpeg,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0
