id,category,sourceSheet,research,currency,levelCount,highestLevel,levelCosts,totalCost,sourceOrder,sourceRow,dataFlags,researchType
r1,Guardsmen I,Guardsmen I,Archers I,Valor Points,1,1,"[300,null,null,null,null,null,null,null,null,null]",300,1,2,[],Unlock
r2,Guardsmen I,Guardsmen I,Spearmen I,Valor Points,1,1,"[300,null,null,null,null,null,null,null,null,null]",300,2,3,[],Unlock
r3,Guardsmen I,Guardsmen I,Riders I,Valor Points,1,1,"[300,null,null,null,null,null,null,null,null,null]",300,3,4,[],Unlock
r4,Guardsmen I,Guardsmen I,Guardsmen Training Cost I,Valor Points,10,10,"[300,700,1800,4500,8900,22000,45000,90000,220000,450000]",843200,4,6,[],Unlock
r5,Guardsmen I,Guardsmen I,Guardsmen Carrying Capacity I,Valor Points,10,10,"[300,700,1800,4500,8900,22000,45000,90000,220000,450000]",843200,5,8,[],Unlock
r6,Guardsmen I,Guardsmen I,Archers II,Valor Points,1,1,"[450000,null,null,null,null,null,null,null,null,null]",450000,6,10,[],Unlock
r7,Guardsmen I,Guardsmen I,Spearmen II,Valor Points,1,1,"[450000,null,null,null,null,null,null,null,null,null]",450000,7,11,[],Unlock
r8,Guardsmen I,Guardsmen I,Riders II,Valor Points,1,1,"[450000,null,null,null,null,null,null,null,null,null]",450000,8,12,[],Unlock
r9,Guardsmen I,Guardsmen I,Guardsmen Training Cost II,Valor Points,10,10,"[45000,90000,140000,230000,410000,820000,1400000,2000000,3200000,4500000]",12835000,9,14,[],Unlock
r10,Guardsmen I,Guardsmen I,Captain Bernard,Valor Points,1,1,"[450000,null,null,null,null,null,null,null,null,null]",450000,10,16,[],Unlock
r11,Guardsmen I,Guardsmen I,Guardsmen's March Speed I,Valor Points,10,10,"[45000,90000,140000,230000,410000,820000,1400000,2000000,3200000,4500000]",12835000,11,18,[],Unlock
r12,Guardsmen I,Guardsmen I,Captain Lucius,Valor Points,1,1,"[450000,null,null,null,null,null,null,null,null,null]",450000,12,20,[],Unlock
r13,Guardsmen I,Guardsmen I,Archers III,Valor Points,1,1,"[8500000,null,null,null,null,null,null,null,null,null]",8500000,13,22,[],Unlock
